"NINECODE","Year","surv","age","sex_combined","sex_combined_error","immigrant","Bill_length","Bill_depth","Bill_width","BILL_PC1","BILL_PC2","BILL_PC3","BILL_VOL","PC1_BODY","Tarsus","Mass","Wing","cr_mass","breeding_status","BLCOUNT","BDCOUNT","BWCOUNT","TARSUSCOUNT","MASSCOUNT","WINGCOUNT","total_measurements","z_bl","z_bd","z_bw","z_pc1","z_pc2","z_pc3","z_body","z_bl_class","z_bd_class","z_bw_class","z_pc1_class","z_pc2_class","z_pc3_class","z_body_class","year_count"
"109137403",1975,1,"subadult","f","f",0,8.6,5.8,6.9,14.41559,-1.647524,0.0182560000000009,363.1412092,67.8464575749783,20.1,24.25,63.5,2.8944801860312,0,2,2,2,2,2,2,2,-0.920058650668369,-0.88342514122571,0.407696012467787,-0.705585015409087,-0.774416043980347,0.660369157191576,-1.51662849856558,-0.55829942000164,-0.578115278805654,0.601518299274603,-0.286144225205148,-0.787271895795175,0.57521250329552,-1.00044773274513,2
"109137406",1975,1,"subadult","f","f",0,8.8,5.9,6.5,NA,NA,NA,354.2384384,68.2134282503237,19.5,22.25,64.5,2.81261316417093,0,2,2,1,2,2,2,3,-0.38237473877105,-0.500042610144617,-0.539045840976957,NA,NA,NA,-1.35846425407646,-0.00567443152382222,-0.194189537701017,-0.352503894913154,NA,NA,NA,-0.720763097005905,3
"109137407",1975,1,"subadult","m","m",0,9.13333333333333,6.26666666666667,6.3,14.8347613333333,-0.888381333333331,-0.292299333333329,NA,73.2911687580638,21.4666666666667,24.9333333333333,69,2.92141629757064,0,3,3,3,3,3,3,4,0.513765114391131,0.90569333715273,-1.01241676769933,0.171872274629123,1.32746825655765,-0.657977942263896,0.830040291586712,0.518761046845969,0.76848465002526,-0.92393303825228,0.112749043323771,1.1495168814147,-0.716603695161003,0.331778891906002,5
"109137408",1975,1,"subadult","f","f",0,8.675,5.35,6.05,13.7365255,-1.26915175,-0.521811,NA,69.5739032145724,20.95,22.5,65,2.82310808664309,0,4,4,4,4,4,4,4,-0.718427183706872,-2.60864653109062,-1.60413042610229,-2.12708035287141,0.273206131606634,-1.63228431399325,-0.772099976701379,-0.351065049322457,-2.30578111377651,-1.42577886337438,-1.79398023129164,0.238350338722721,-1.67778570016764,0.316115243341315,2
"109137418",1975,1,"subadult","f","f",0,8.6,5.59999999999999,6.7,14.18064,-1.61715200000001,-0.140402000000004,NA,68.3385009237971,20.4,21,64,2.75892417638112,0,1,1,1,1,1,1,1,-0.920058650668369,-1.65019020338793,-0.065674914254585,-1.19740917870546,-0.690323247225518,-0.0131543397657515,-1.30455797154439,-0.55829942000164,-1.34596676101496,0.124507202180725,-0.8078414566611,-0.704945037769071,-0.0866612808184292,-0.625439662542336,3
"109137425",1975,1,"adult","m","m",0,8.8,6,6.7,14.602148,-1.366642,-0.0783700000000005,NA,73.42687,20.3,27,70,3,1,1,1,1,1,1,1,1,-0.38237473877105,-0.116660079063527,-0.065674914254585,-0.315060511232686,0.00327896912704287,0.250179432015425,0.888527483749603,-0.677473225493974,-0.361441284475172,-0.190650620106153,-0.660432855529663,0.00942309367292755,0.320971898195278,0.243837879456783,2
"114110801",1975,1,"adult","f","f",0,8.75,6.15,6.75,14.6846345,-1.3125825,0.0345605000000004,NA,67.168061706608,18.5,22.6666666666667,64,2.83006158292518,1,2,2,2,1,3,2,4,-0.516795716745381,0.458413717558112,0.0526678174260074,-0.142390352280796,0.152956782447508,0.7295838444821,-1.8090169023102,-0.378802633966801,0.695843905047157,0.153822256396849,0.087826281694787,0.184028865564058,0.773889466832891,-1.56803695908884,4
"114110804",1975,1,"adult","m","m",0,9.13333333333333,5.83333333333333,6.33333333333333,14.5726256666667,-1.18343,-0.472995666666666,NA,71.2970275749783,20.3333333333333,24.25,67.5,2.8944801860312,1,3,3,3,3,4,2,6,0.513765114391131,-0.75563096419869,-0.933521613245607,-0.376860029811989,0.510549135038105,-1.42505698217384,-0.0294339247944411,0.218166031628088,-1.03079448273014,-1.06631605793333,-0.724116876783824,0.525201539942596,-1.30735036854203,-1.27366573962739,5
"114110805",1975,1,"adult","m","m",0,9.05,5.85,6.625,14.6696895,-1.39942,-0.315552,NA,71.6803280063895,19.775,26,68.3333333333333,2.96249606840737,1,4,4,4,4,3,3,4,0.289730151100596,-0.691733875685165,-0.243189011775475,-0.173674932491325,-0.0874754656164942,-0.756688485488435,0.135768439371153,-0.005743782652418,-0.963859162904634,-0.369764005116256,-0.51473589204859,-0.0828535361975356,-0.657699193149405,-1.00056582151626,2
"114110806",1975,0,"adult","f","f",0,8.86666666666667,5.86666666666667,6.43333333333333,14.429384,-1.24264266666666,-0.269236666666669,NA,69.3720630861492,20.1666666666667,23.375,65.3333333333333,2.85923953243566,1,3,3,3,3,4,3,4,-0.203146768138602,-0.627836787171636,-0.696836149884422,-0.676709839803594,0.346603436917715,-0.560073973333937,-0.859093007928177,-0.0299299132667073,-0.460312282003335,-0.687585115408102,-0.51276304099924,0.398669417152823,-0.616563309301217,0.071390082202714,1
"114110813",1975,1,"adult","f","f",0,9.2,6.16666666666667,6.76666666666666,15.0715396666667,-1.31072599999999,-0.212129,NA,66.3791596721632,19.7666666666667,23.8333333333333,62,2.87780654315608,1,3,3,3,3,3,3,3,0.692993085023579,0.522310806071637,0.0921153946528568,0.667523713992434,0.158096986489923,-0.317644626207368,-2.14903342852567,0.966849288733513,0.763853092520727,0.198106854912881,0.998191244721987,0.189726336733706,-0.35518656729119,-2.15485479877093,3
